day,weekday,jobs
0,0,17
1,1,16
2,2,12
3,3,3
4,4,13
5,5,9
6,6,4
7,0,7
8,1,8
9,2,12
10,3,7
11,4,16
12,5,23
13,6,3
14,0,3
15,1,7
16,2,13
17,3,16
18,4,14
19,5,17
20,6,5
21,0,8
22,1,6
23,2,7
24,3,11
25,4,8
26,5,14
27,6,2
28,0,11
29,1,9
30,2,11
31,3,5
32,4,2
33,5,23
34,6,2
35,0,20
36,1,9
37,2,11
38,3,17
39,4,16
40,5,7
41,6,4
42,0,9
43,1,14
44,2,11
45,3,7
46,4,8
47,5,13
48,6,5
49,0,13
50,1,5
51,2,16
52,3,8
53,4,19
54,5,12
55,6,4
56,0,7
57,1,10
58,2,24
59,3,8
60,4,14
61,5,17
62,6,2
63,0,26
64,1,18
65,2,15
66,3,17
67,4,15
68,5,25
69,6,1
70,0,28
71,1,7
72,2,14
73,3,22
74,4,12
75,5,27
76,6,6
77,0,10
78,1,22
79,2,18
80,3,9
81,4,11
82,5,36
83,6,6
84,0,9
85,1,16
86,2,11
87,3,16
88,4,14
89,5,15
90,6,0
91,0,13
92,1,7
93,2,10
94,3,15
95,4,18
96,5,21
97,6,7
98,0,7
99,1,12
100,2,30
101,3,30
102,4,18
103,5,18
104,6,4
105,0,25
106,1,9
107,2,24
108,3,6
109,4,15
110,5,18
111,6,5
112,0,21
113,1,20
114,2,21
115,3,15
116,4,9
117,5,17
118,6,2
119,0,14
120,1,21
121,2,6
122,3,18
123,4,4
124,5,14
125,6,1
126,0,24
127,1,16
128,2,23
129,3,16
130,4,20
131,5,17
132,6,4
133,0,20
134,1,9
135,2,6
136,3,16
137,4,20
138,5,39
139,6,3
140,0,20
141,1,26
142,2,6
143,3,32
144,4,8
145,5,27
146,6,3
147,0,21
148,1,27
149,2,6
150,3,16
151,4,14
152,5,19
153,6,9
154,0,12
155,1,10
156,2,12
157,3,15
158,4,21
159,5,18
160,6,3
161,0,8
162,1,13
163,2,11
164,3,22
165,4,21
166,5,26
167,6,3
168,0,17
169,1,22
170,2,11
171,3,26
172,4,9
173,5,23
174,6,4
175,0,16
176,1,15
177,2,12
178,3,9
179,4,21
180,5,12
181,6,2
182,0,31
183,1,12
184,2,7
185,3,21
186,4,9
187,5,21
188,6,3
189,0,19
190,1,13
191,2,18
192,3,23
193,4,20
194,5,8
195,6,2
196,0,15
197,1,26
198,2,22
199,3,39
200,4,25
201,5,29
202,6,4
203,0,21
204,1,39
205,2,23
206,3,17
207,4,12
208,5,40
209,6,4
210,0,32
211,1,21
212,2,28
213,3,14
214,4,8
215,5,30
216,6,4
217,0,10
218,1,13
219,2,10
220,3,5
221,4,24
222,5,33
223,6,3
224,0,13
225,1,13
226,2,11
227,3,11
228,4,14
229,5,23
230,6,1
231,0,16
232,1,8
233,2,19
234,3,21
235,4,20
236,5,14
237,6,4
238,0,21
239,1,16
240,2,24
241,3,2
242,4,15
243,5,43
244,6,7
245,0,25
246,1,19
247,2,16
248,3,12
249,4,22
250,5,24
251,6,1
252,0,17
253,1,14
254,2,32
255,3,9
256,4,15
257,5,38
258,6,5
259,0,34
260,1,13
261,2,15
262,3,22
263,4,7
264,5,39
265,6,4
266,0,11
267,1,19
268,2,25
269,3,15
270,4,13
271,5,25
272,6,11
273,0,18
274,1,36
275,2,31
276,3,9
277,4,18
278,5,14
279,6,6
