city,month,price,marketing_spend,signups
Aalen,0,18.24,194,48
Aalen,1,19.5,140,58
Aalen,2,19.49,222,50
Aalen,3,18.65,222,58
Aalen,4,18.88,182,50
Aalen,5,19.37,448,54
Aalen,6,18.07,241,35
Aalen,7,19.54,340,32
Aalen,8,19.14,191,32
Aalen,9,18.9,417,35
Aalen,10,19.24,-29,36
Aalen,11,18.65,434,35
Aalen,12,18.43,279,43
Aalen,13,18.0,425,58
Aalen,14,18.77,208,45
Aalen,15,18.74,375,55
Aalen,16,18.7,250,57
Aalen,17,19.65,245,53
Aalen,18,19.07,159,41
Aalen,19,18.71,293,35
Aalen,20,19.73,107,42
Aalen,21,20.03,167,32
Aalen,22,20.07,410,31
Aalen,23,18.68,282,38
Brugge,0,18.64,378,129
Brugge,1,18.68,586,185
Brugge,2,18.95,623,167
Brugge,3,20.04,474,133
Brugge,4,19.28,567,166
Brugge,5,19.42,655,132
Brugge,6,19.87,396,111
Brugge,7,19.4,400,112
Brugge,8,19.13,451,83
Brugge,9,19.37,667,95
Brugge,10,19.42,588,92
Brugge,11,19.46,538,123
Brugge,12,22.52,557,81
Brugge,13,23.31,393,126
Brugge,14,22.01,521,136
Brugge,15,21.99,427,154
Brugge,16,23.62,572,122
Brugge,17,23.02,500,116
Brugge,18,21.46,494,103
Brugge,19,22.89,548,96
Brugge,20,22.19,460,90
Brugge,21,21.84,741,79
Brugge,22,23.53,378,58
Brugge,23,22.73,487,77
Cesena,0,18.51,446,78
Cesena,1,18.58,419,86
Cesena,2,18.82,398,104
Cesena,3,19.32,366,102
Cesena,4,19.79,223,80
Cesena,5,19.56,522,102
Cesena,6,19.47,745,76
Cesena,7,18.76,260,79
Cesena,8,19.09,419,77
Cesena,9,18.71,540,62
Cesena,10,18.75,302,68
Cesena,11,19.73,557,71
Cesena,12,22.09,429,70
Cesena,13,20.96,627,83
Cesena,14,22.8,503,82
Cesena,15,22.49,360,79
Cesena,16,23.63,450,75
Cesena,17,21.69,313,76
Cesena,18,22.39,231,74
Cesena,19,21.94,690,52
Cesena,20,22.05,602,45
Cesena,21,23.08,579,50
Cesena,22,22.79,364,48
Cesena,23,23.2,432,54
Delft,0,19.49,159,31
Delft,1,20.08,136,36
Delft,2,19.36,397,38
Delft,3,19.21,242,50
Delft,4,19.7,251,37
Delft,5,18.26,159,45
Delft,6,18.77,291,35
Delft,7,19.62,435,29
Delft,8,18.83,316,32
Delft,9,18.02,46,28
Delft,10,19.13,234,28
Delft,11,18.56,175,30
Delft,12,18.98,167,37
Delft,13,19.83,89,38
Delft,14,19.29,159,39
Delft,15,19.29,242,49
Delft,16,18.98,290,39
Delft,17,19.15,417,42
Delft,18,19.04,401,37
Delft,19,20.13,307,38
Delft,20,20.17,430,26
Delft,21,18.19,177,32
Delft,22,19.56,351,22
Delft,23,18.51,68,27
Espoo,0,18.74,338,54
Espoo,1,19.13,182,63
Espoo,2,18.84,377,71
Espoo,3,19.84,320,63
Espoo,4,17.99,113,79
Espoo,5,18.85,526,83
Espoo,6,18.63,239,56
Espoo,7,18.46,446,47
Espoo,8,19.1,137,46
Espoo,9,19.36,236,47
Espoo,10,19.08,507,45
Espoo,11,18.88,315,59
Espoo,12,18.24,181,59
Espoo,13,18.08,309,61
Espoo,14,17.61,521,74
Espoo,15,20.24,136,82
Espoo,16,18.18,489,87
Espoo,17,19.85,224,65
Espoo,18,19.52,291,50
Espoo,19,19.28,540,40
Espoo,20,18.64,243,40
Espoo,21,17.89,497,41
Espoo,22,19.26,258,44
Espoo,23,19.94,173,42
Ferrara,0,18.8,509,57
Ferrara,1,18.2,268,76
Ferrara,2,18.52,393,78
Ferrara,3,18.96,56,76
Ferrara,4,19.63,93,63
Ferrara,5,19.98,246,52
Ferrara,6,18.93,546,60
Ferrara,7,18.76,528,49
Ferrara,8,17.54,434,49
Ferrara,9,18.36,258,43
Ferrara,10,19.17,418,56
Ferrara,11,19.26,378,58
Ferrara,12,18.81,319,65
Ferrara,13,19.16,379,63
Ferrara,14,19.55,335,74
Ferrara,15,19.05,492,80
Ferrara,16,19.36,303,74
Ferrara,17,19.05,247,66
Ferrara,18,19.75,123,73
Ferrara,19,19.03,236,45
Ferrara,20,18.38,353,51
Ferrara,21,18.95,321,42
Ferrara,22,19.08,478,49
Ferrara,23,18.23,352,45
Gouda,0,18.81,528,82
Gouda,1,17.7,400,88
Gouda,2,19.12,650,107
Gouda,3,18.78,467,105
Gouda,4,19.09,375,100
Gouda,5,19.82,584,78
Gouda,6,18.27,438,80
Gouda,7,19.5,554,63
Gouda,8,18.4,659,80
Gouda,9,18.87,404,63
Gouda,10,18.52,390,66
Gouda,11,19.21,493,78
Gouda,12,22.93,435,64
Gouda,13,22.98,187,76
Gouda,14,23.38,443,80
Gouda,15,22.79,482,76
Gouda,16,22.76,411,94
Gouda,17,23.63,423,79
Gouda,18,22.72,420,61
Gouda,19,22.41,377,65
Gouda,20,23.46,469,45
Gouda,21,23.44,234,46
Gouda,22,22.13,439,52
Gouda,23,22.64,575,52
Herning,0,19.81,434,87
Herning,1,18.26,440,97
Herning,2,18.76,643,112
Herning,3,18.47,362,127
Herning,4,18.8,378,108
Herning,5,19.42,456,88
Herning,6,19.08,294,95
Herning,7,19.21,548,83
Herning,8,19.45,587,62
Herning,9,18.62,372,63
Herning,10,18.4,373,72
Herning,11,18.92,489,89
Herning,12,21.85,423,81
Herning,13,22.22,402,79
Herning,14,23.0,558,82
Herning,15,22.34,538,94
Herning,16,21.93,343,94
Herning,17,23.8,520,77
Herning,18,22.05,608,70
Herning,19,23.66,388,63
Herning,20,23.23,406,53
Herning,21,22.51,411,44
Herning,22,23.26,218,63
Herning,23,21.55,573,56
Ipswich,0,18.49,524,81
Ipswich,1,19.5,511,112
Ipswich,2,18.72,557,111
Ipswich,3,18.95,354,103
Ipswich,4,18.61,316,129
Ipswich,5,19.96,230,95
Ipswich,6,18.47,427,102
Ipswich,7,19.71,367,67
Ipswich,8,19.0,268,72
Ipswich,9,18.95,450,71
Ipswich,10,19.36,394,61
Ipswich,11,18.4,228,71
Ipswich,12,22.55,407,73
Ipswich,13,22.24,353,71
Ipswich,14,22.99,585,80
Ipswich,15,22.33,485,84
Ipswich,16,22.35,481,91
Ipswich,17,22.78,535,86
Ipswich,18,23.3,411,66
Ipswich,19,23.83,555,56
Ipswich,20,22.28,392,64
Ipswich,21,23.02,466,55
Ipswich,22,22.65,506,51
Ipswich,23,22.59,486,67
Jena,0,19.42,388,52
Jena,1,19.41,419,51
Jena,2,17.88,268,72
Jena,3,19.36,515,63
Jena,4,19.11,533,64
Jena,5,19.28,443,62
Jena,6,19.3,464,50
Jena,7,18.53,522,45
Jena,8,18.81,421,48
Jena,9,19.12,492,40
Jena,10,18.48,408,44
Jena,11,18.64,398,49
Jena,12,18.85,392,58
Jena,13,20.02,219,48
Jena,14,18.45,475,67
Jena,15,19.68,285,64
Jena,16,20.06,378,67
Jena,17,18.43,159,68
Jena,18,18.26,331,56
Jena,19,19.44,387,44
Jena,20,18.76,122,38
Jena,21,19.12,360,46
Jena,22,18.13,315,46
Jena,23,19.89,197,53
Kortrijk,0,19.64,489,89
Kortrijk,1,19.68,526,92
Kortrijk,2,18.96,326,112
Kortrijk,3,18.63,614,91
Kortrijk,4,18.13,475,107
Kortrijk,5,18.62,635,92
Kortrijk,6,19.63,464,83
Kortrijk,7,19.16,538,68
Kortrijk,8,19.31,509,60
Kortrijk,9,18.58,508,71
Kortrijk,10,18.29,718,66
Kortrijk,11,18.61,329,78
Kortrijk,12,22.25,401,84
Kortrijk,13,23.02,330,83
Kortrijk,14,22.06,316,98
Kortrijk,15,23.28,358,84
Kortrijk,16,23.36,453,76
Kortrijk,17,21.85,580,70
Kortrijk,18,24.0,517,50
Kortrijk,19,23.55,184,46
Kortrijk,20,22.3,528,63
Kortrijk,21,21.95,134,50
Kortrijk,22,22.96,434,51
Kortrijk,23,22.16,421,66
Lund,0,18.35,217,95
Lund,1,18.93,649,108
Lund,2,19.64,471,95
Lund,3,18.89,510,107
Lund,4,19.06,632,105
Lund,5,19.29,466,94
Lund,6,18.81,290,112
Lund,7,18.52,408,88
Lund,8,20.25,363,59
Lund,9,19.65,471,67
Lund,10,18.51,453,83
Lund,11,18.2,445,93
Lund,12,23.41,320,66
Lund,13,22.08,490,98
Lund,14,22.15,447,83
Lund,15,23.92,483,89
Lund,16,23.29,375,97
Lund,17,22.12,370,89
Lund,18,22.64,469,74
Lund,19,23.6,387,63
Lund,20,22.82,570,60
Lund,21,22.2,507,65
Lund,22,23.4,434,57
Lund,23,21.77,536,72
