tenure_months,monthly_fee,support_tickets,churned
22,42.52,2,0
24,43.97,0,0
41,61.83,1,0
28,45.68,3,0
46,51.3,1,0
46,38.08,1,0
27,45.48,0,0
32,28.75,0,0
17,46.08,1,1
25,30.3,1,1
29,29.28,0,0
17,51.62,1,0
42,51.38,0,0
9,63.04,0,0
33,42.87,2,1
9,68.92,0,0
46,57.98,0,0
8,59.07,1,1
7,31.75,0,0
26,56.74,0,0
5,42.64,2,0
24,32.71,0,1
25,46.11,0,0
33,25.73,0,0
10,55.29,0,1
36,49.06,1,0
6,59.3,0,0
17,55.56,0,1
19,45.31,0,0
30,47.37,1,0
1,28.88,0,0
41,37.49,1,0
37,66.27,0,0
10,19.51,0,1
39,29.61,0,0
19,54.32,0,0
10,53.94,3,0
3,57.07,0,0
38,48.95,1,0
19,53.55,0,0
43,56.23,0,0
6,43.79,1,0
11,57.99,0,0
44,26.44,2,0
25,29.4,0,0
43,59.64,1,0
9,18.75,0,1
29,33.84,2,0
19,43.71,2,1
8,50.74,0,0
9,26.96,0,1
36,61.08,0,0
20,27.34,1,0
9,49.17,1,1
44,40.95,0,0
38,37.61,1,0
22,45.76,1,0
2,28.4,0,1
31,46.27,0,0
34,39.61,1,0
44,50.27,2,1
21,42.82,1,0
34,34.81,1,0
37,44.23,2,0
39,60.62,1,1
44,56.11,0,0
23,49.99,1,0
17,37.1,1,0
18,33.4,2,0
29,52.93,1,1
7,52.34,0,1
11,56.47,0,1
16,68.96,1,1
1,37.41,3,1
7,45.25,0,1
20,36.8,1,1
9,47.76,0,0
29,47.99,1,1
15,41.53,0,0
39,40.68,1,0
29,64.48,2,0
33,51.74,1,0
42,44.32,0,0
10,26.87,1,0
16,44.37,2,1
19,37.95,4,0
34,38.17,1,0
21,40.1,1,0
31,47.27,2,0
44,63.05,2,0
43,44.87,0,0
32,68.6,1,1
42,28.11,0,0
23,47.94,1,0
21,44.33,1,0
13,29.49,0,0
42,46.84,0,0
33,48.16,2,0
17,50.72,1,0
29,27.54,1,0
28,50.97,0,0
16,43.79,0,0
47,71.91,1,1
25,27.53,0,0
13,24.63,0,0
21,37.4,1,1
47,41.41,0,0
26,39.54,1,0
11,47.38,1,0
11,49.44,1,0
35,54.45,1,0
42,62.13,2,0
31,35.05,1,0
29,45.64,1,0
37,51.62,0,0
20,35.37,1,0
17,33.69,0,0
13,30.77,1,0
17,45.96,0,0
14,19.08,1,0
46,54.08,1,0
16,29.13,2,0
29,15.0,2,0
37,44.95,1,0
7,51.09,3,1
1,26.12,0,0
12,44.7,1,1
23,49.13,1,0
38,51.04,1,1
30,61.61,2,0
13,57.11,2,1
36,63.81,1,1
24,60.27,1,0
4,25.74,1,0
34,35.64,1,0
40,50.29,1,0
39,46.39,1,0
18,51.37,0,0
43,58.36,1,0
1,47.52,1,0
29,48.37,0,0
26,30.36,1,0
12,23.93,1,0
38,63.38,2,0
11,61.78,4,0
29,51.18,1,0
24,34.81,1,0
9,60.53,1,0
43,54.98,1,0
31,47.97,1,0
12,54.75,1,1
26,47.02,1,1
34,53.0,0,0
10,37.21,0,0
4,50.08,1,1
29,51.14,2,0
2,33.56,0,1
26,39.81,0,0
27,21.25,1,0
4,42.68,1,0
42,34.85,0,0
21,49.45,1,0
1,32.59,0,0
25,43.29,1,0
1,51.97,1,0
25,60.29,1,1
15,31.67,0,0
18,58.53,1,1
44,46.42,1,0
26,39.61,0,0
8,62.5,0,1
33,47.68,1,0
21,39.3,2,1
27,39.31,0,0
32,44.5,0,0
20,41.12,0,1
22,53.9,1,0
25,22.9,0,1
15,51.13,1,0
2,27.95,1,1
30,53.59,0,0
33,54.07,2,0
24,64.28,0,0
29,56.12,1,0
17,36.08,0,0
5,65.57,0,0
16,32.05,0,1
41,16.06,2,0
11,33.5,1,0
25,39.31,0,0
25,68.6,1,0
38,69.25,1,0
1,46.89,0,0
11,20.54,2,1
25,39.37,1,1
24,42.65,0,0
11,58.44,0,0
5,66.7,1,1
40,35.75,0,1
3,26.61,1,0
40,35.24,0,0
36,74.04,0,0
1,45.41,0,0
8,67.58,2,0
1,55.59,1,1
37,15.0,1,0
26,15.0,0,0
16,39.64,4,0
15,50.16,1,0
25,44.66,1,0
36,55.12,3,1
34,47.36,2,0
17,51.89,2,0
21,69.43,1,1
38,41.5,1,1
24,51.67,0,0
13,52.18,1,0
21,46.3,0,0
24,51.55,1,0
17,52.53,0,0
13,55.08,0,0
19,34.0,0,0
40,37.1,2,0
22,37.22,2,0
2,59.78,0,1
27,44.42,4,0
2,39.81,0,0
13,54.65,0,1
14,45.48,1,0
15,52.48,0,0
36,49.34,0,0
20,60.92,0,0
13,37.76,1,0
14,67.69,0,1
38,49.47,0,0
1,66.48,2,0
8,37.08,2,0
31,39.86,0,0
20,30.58,0,0
46,28.21,2,0
17,49.55,1,1
15,37.52,2,1
34,17.19,2,1
35,38.88,0,0
44,36.46,1,0
30,52.48,0,0
8,42.7,0,0
27,35.67,1,0
47,51.02,1,0
32,43.89,1,0
36,33.29,0,1
20,44.29,0,0
5,45.84,0,0
12,33.17,0,1
30,66.65,1,0
43,47.39,1,0
13,49.57,2,1
35,39.92,1,0
34,48.89,0,0
41,46.56,0,0
34,23.52,0,0
24,35.49,0,0
45,55.33,0,0
6,47.0,0,1
45,30.99,3,1
20,15.0,1,0
14,36.73,1,0
16,41.49,1,0
18,48.55,0,0
15,39.91,0,0
33,46.65,1,0
14,50.87,2,0
3,43.45,1,0
7,52.49,1,1
30,40.45,0,0
44,42.3,0,0
21,25.19,1,1
34,48.42,0,0
36,66.22,3,0
10,44.01,0,0
1,52.56,0,0
8,31.79,2,1
29,24.11,1,0
10,45.9,0,0
13,54.69,0,0
47,34.93,0,0
41,39.95,1,0
44,49.91,3,0
12,41.98,0,0
20,49.93,2,0
37,51.3,2,0
44,28.35,0,0
12,25.95,0,0
2,38.01,0,1
3,33.93,2,0
26,33.93,0,0
19,56.16,1,0
44,43.26,2,0
7,57.89,0,0
32,47.17,0,0
20,32.02,1,0
6,33.2,1,0
14,60.89,0,1
14,36.64,0,0
19,32.07,1,0
41,53.95,2,0
27,46.68,1,1
29,46.97,0,0
38,64.26,1,1
38,44.59,0,1
2,49.44,0,0
15,44.82,0,0
37,51.64,2,1
5,30.97,0,1
39,57.27,0,0
23,50.65,0,0
14,43.59,0,0
28,33.27,1,1
14,38.44,2,1
38,37.25,1,0
28,31.4,0,0
34,45.04,1,0
5,55.48,1,0
27,37.64,2,0
42,18.57,1,0
17,55.7,3,0
24,16.57,1,0
25,38.73,0,0
11,53.89,0,1
23,35.0,1,0
20,53.27,0,0
16,37.2,1,0
30,42.04,1,0
14,33.06,1,0
6,27.52,0,0
33,67.69,0,1
7,16.92,1,0
28,49.12,0,0
30,30.85,0,0
26,55.07,0,0
39,45.3,1,0
14,45.12,1,0
7,22.81,0,0
40,57.74,0,0
32,50.25,1,0
36,42.63,0,0
35,49.29,1,0
19,54.05,2,0
2,41.18,1,0
36,65.59,0,0
30,42.01,1,0
1,58.7,2,0
45,56.06,1,0
23,51.4,2,0
4,30.1,0,0
23,22.22,1,0
14,67.58,0,0
24,37.32,1,0
6,41.56,4,1
27,39.06,0,0
42,53.29,0,0
24,55.95,1,1
22,27.94,2,0
9,32.85,0,0
26,47.66,3,0
23,28.9,1,0
2,49.81,0,0
7,15.0,0,0
18,45.55,0,0
17,54.97,0,0
44,46.98,2,0
13,59.15,2,1
32,71.59,0,1
4,34.66,1,0
46,72.78,0,0
5,28.13,2,1
15,44.71,2,1
5,49.34,1,0
27,39.03,0,0
11,37.6,1,0
42,39.5,1,0
43,48.3,1,0
26,44.74,0,0
43,41.28,1,0
14,39.41,1,0
5,15.0,0,1
44,47.43,1,0
45,26.6,0,0
33,32.28,0,0
15,43.23,1,1
17,28.65,2,0
12,43.68,0,0
5,54.22,0,0
18,47.97,0,0
38,40.42,0,0
41,37.41,2,0
34,49.48,1,0
1,51.26,0,0
33,65.19,2,0
17,51.54,0,1
45,65.36,0,0
1,69.51,0,0
43,57.11,0,0
6,48.96,2,1
10,35.86,0,0
3,44.17,3,0
34,57.16,1,0
45,58.83,2,0
38,50.12,0,0
37,41.47,1,0
23,34.43,2,1
28,57.48,1,0
36,48.0,0,0
44,49.29,4,0
28,68.61,0,0
44,41.35,1,0
2,56.34,0,0
38,36.25,0,0
6,49.6,0,0
11,46.15,0,0
34,37.86,0,0
37,70.81,0,0
18,52.94,1,0
9,55.49,0,0
22,39.74,0,1
12,45.98,1,0
9,60.55,1,1
5,41.87,1,1
30,40.71,0,0
7,24.57,1,0
34,49.54,2,1
35,24.49,1,0
38,42.46,1,0
9,52.12,2,1
9,38.24,0,0
31,40.88,2,0
24,45.04,2,0
3,57.9,0,1
18,29.52,0,1
33,24.92,0,0
26,60.37,2,1
17,41.98,4,1
6,43.76,0,0
32,42.83,3,0
10,39.88,4,0
29,42.32,0,0
36,43.16,0,0
7,55.06,0,0
27,49.29,1,0
2,52.92,0,1
38,41.38,2,0
33,36.16,1,0
11,40.12,0,0
24,33.77,3,1
37,46.07,2,0
9,31.83,2,0
27,39.15,1,0
5,49.53,0,0
20,51.46,1,0
10,55.77,1,1
17,55.89,0,0
26,35.19,3,0
3,39.45,1,0
30,43.41,0,0
21,57.34,0,0
28,21.03,1,0
22,30.25,0,1
29,49.76,0,0
23,47.25,0,0
25,34.58,2,0
30,58.21,0,0
26,56.64,0,0
32,42.33,0,1
14,59.9,1,0
1,52.24,1,1
15,30.94,3,0
17,45.1,3,0
19,49.27,0,1
23,47.9,1,0
30,31.92,0,0
16,34.8,0,0
4,58.58,1,0
4,39.09,1,0
25,61.6,1,1
42,53.4,1,0
43,52.13,0,1
47,42.58,1,0
44,44.65,0,0
21,44.86,0,0
47,69.12,1,0
11,60.38,0,1
16,48.63,1,0
30,48.5,0,0
21,39.6,0,0
6,38.6,0,1
22,30.58,0,0
27,41.07,0,0
39,58.8,2,0
26,42.26,0,0
1,32.86,2,0
46,50.92,0,0
6,45.73,1,1
38,48.24,0,0
38,63.73,0,0
40,31.02,0,0
38,38.42,1,0
12,31.26,3,0
25,42.69,0,0
34,37.27,0,0
5,42.15,1,0
35,37.08,0,0
32,52.47,0,0
31,43.41,0,0
13,53.92,1,1
46,51.38,1,0
