day,mode,rain,minutes,late
1,bus,1,25.3,0
2,bus,0,15.3,0
3,bus,0,27.9,0
4,bus,1,34.4,0
5,bus,1,38.8,1
6,bike,1,38.5,1
7,bus,0,26.2,0
8,bus,1,22.1,0
9,bike,0,32.7,0
10,bus,0,27.7,0
11,bus,1,38.8,1
12,bus,1,35.1,1
13,bus,0,17.4,0
14,bike,1,35.2,1
15,bike,1,30.3,0
16,bus,1,43.9,1
17,bike,1,36.2,1
18,bike,0,29.6,0
19,bus,0,24.6,0
20,bike,0,33.8,0
21,bike,0,34.8,0
22,bus,1,30.0,0
23,bus,1,27.5,0
24,bike,1,33.6,0
25,bike,0,27.5,0
26,bike,0,32.7,0
27,bus,1,36.2,1
28,bus,0,23.6,0
29,bike,0,30.4,0
30,bus,0,28.0,0
31,bus,0,30.0,0
32,bike,0,28.5,0
33,bus,1,18.1,0
34,bus,1,33.1,0
35,bike,0,25.6,0
36,bike,0,28.3,0
37,bus,0,36.7,1
38,bus,0,35.8,1
39,bus,0,28.8,0
40,bike,0,21.9,0
41,bike,0,24.3,0
42,bus,1,13.6,0
43,bus,0,37.8,1
44,bike,1,34.3,0
45,bus,0,38.8,1
46,bus,0,27.6,0
47,bus,0,23.2,0
48,bike,0,33.3,0
49,bike,0,27.3,0
50,bus,1,23.4,0
51,bike,0,32.9,0
52,bus,1,25.1,0
53,bus,0,36.3,1
54,bike,0,22.9,0
55,bus,0,20.0,0
56,bike,0,25.9,0
57,bus,0,24.8,0
58,bike,0,34.5,0
59,bus,0,26.8,0
60,bus,0,20.4,0
