sqm,rooms,district,elevator,rent
67,2,outer,1,800
99,3,centre,0,1710
90,3,centre,0,1450
71,2,ring,1,1220
86,3,outer,0,930
81,3,centre,1,1180
85,3,outer,0,1090
96,3,centre,1,1600
76,2,centre,0,1300
100,3,outer,1,1120
50,2,centre,1,970
84,3,ring,1,1240
71,2,centre,1,1130
75,2,ring,0,1080
66,2,centre,1,1320
95,3,ring,1,1310
66,2,ring,0,1090
82,3,outer,0,980
83,3,centre,0,1330
99,3,ring,0,1300
91,3,ring,0,1170
78,2,centre,1,1460
99,3,centre,0,1520
78,2,ring,0,1070
115,4,outer,0,1470
79,2,centre,0,1320
75,2,centre,0,1250
81,3,ring,0,1140
91,3,centre,0,1450
72,2,centre,1,1270
67,2,ring,1,930
75,2,ring,1,1130
105,3,ring,0,1530
71,2,ring,0,850
104,3,centre,1,1660
77,2,ring,0,1190
98,3,ring,0,1390
69,2,outer,0,930
106,3,outer,0,1200
62,2,centre,1,880
82,3,centre,0,1350
64,2,outer,1,920
99,3,ring,0,1250
77,2,ring,0,1170
85,3,outer,1,1150
86,3,outer,0,1010
96,3,centre,0,1380
79,2,ring,0,1020
60,2,outer,0,940
80,2,ring,0,1160
66,2,ring,0,910
116,4,centre,0,1890
93,3,ring,0,1340
68,2,centre,0,960
95,3,centre,1,1530
81,3,centre,1,1370
116,4,centre,1,1740
65,2,centre,0,1140
73,2,centre,0,1240
79,2,ring,0,1090
89,3,ring,0,1160
61,2,outer,0,760
98,3,outer,0,1240
118,4,centre,1,1880
112,4,ring,0,1440
103,3,centre,0,1600
101,3,ring,0,1310
119,4,ring,1,1440
68,2,centre,0,1150
83,3,outer,0,900
70,2,centre,1,1050
125,4,outer,1,1560
96,3,centre,1,1590
71,2,ring,1,1040
64,2,outer,0,780
83,3,ring,1,980
78,2,ring,0,1020
74,2,ring,1,1130
60,2,outer,0,810
94,3,centre,0,1460
84,3,outer,0,1090
58,2,centre,1,1130
77,2,ring,1,1110
76,2,ring,0,1070
80,2,centre,1,1360
119,4,outer,1,1490
63,2,ring,1,920
74,2,ring,0,1030
76,2,outer,0,1030
115,4,centre,0,1590
74,2,centre,1,1170
72,2,ring,0,1120
115,4,centre,0,1580
65,2,ring,0,910
74,2,ring,0,990
74,2,ring,0,1080
57,2,ring,0,1000
76,2,ring,1,1000
86,3,centre,1,1410
103,3,centre,0,1640
107,3,ring,1,1490
83,3,centre,0,1300
107,3,centre,1,1690
74,2,ring,1,1250
94,3,centre,0,1430
78,2,centre,0,1380
74,2,centre,0,1170
71,2,ring,0,1030
65,2,ring,0,970
70,2,centre,1,1060
64,2,ring,1,1030
68,2,ring,0,1100
63,2,outer,0,670
112,4,ring,0,1530
106,3,centre,1,1580
79,2,ring,0,1140
97,3,ring,0,1170
61,2,ring,0,910
65,2,outer,0,780
63,2,outer,1,740
133,4,ring,0,1650
82,3,centre,1,1430
98,3,ring,0,1290
102,3,centre,1,1540
94,3,centre,0,1380
56,2,centre,1,1010
86,3,ring,1,1260
77,2,outer,0,960
63,2,ring,0,1050
64,2,outer,0,740
92,3,ring,0,1200
75,2,ring,0,1140
93,3,ring,0,1300
76,2,centre,0,1460
81,3,ring,1,1160
110,3,outer,0,1300
68,2,ring,0,930
82,3,outer,1,810
86,3,ring,0,1220
113,4,centre,1,1730
81,3,centre,1,1490
110,3,ring,0,1520
54,2,ring,0,810
67,2,centre,1,1080
74,2,ring,0,1110
82,3,centre,1,1290
89,3,centre,0,1240
83,3,ring,0,1240
114,4,ring,1,1420
78,2,outer,0,970
87,3,outer,1,1000
80,2,outer,0,980
81,3,centre,0,1310
100,3,outer,0,1120
87,3,ring,0,1060
85,3,ring,1,1230
78,2,centre,1,1420
80,2,ring,0,1170
90,3,outer,0,1080
67,2,centre,1,1260
99,3,ring,0,1130
110,3,centre,0,1550
62,2,ring,1,1110
50,2,centre,0,1030
53,2,ring,0,730
72,2,ring,0,1010
81,3,outer,0,910
57,2,centre,1,1040
99,3,outer,1,1330
124,4,ring,1,1730
82,3,ring,0,1180
86,3,centre,0,1400
113,4,centre,1,1540
86,3,ring,0,1060
101,3,centre,1,1610
68,2,ring,0,1060
60,2,centre,1,1320
98,3,ring,0,1220
92,3,ring,1,1230
67,2,centre,0,1140
