day,weekend,release,tickets
0,0,1,21
1,0,1,38
2,0,1,31
3,0,1,38
4,0,1,32
5,1,1,15
6,1,1,31
7,0,0,18
8,0,0,14
9,0,0,16
10,0,0,13
11,0,0,20
12,1,0,19
13,1,0,14
14,0,0,11
15,0,0,26
16,0,0,5
17,0,0,19
18,0,0,35
19,1,0,6
20,1,0,9
21,0,0,21
22,0,0,32
23,0,0,9
24,0,0,35
25,0,0,11
26,1,0,2
27,1,0,1
28,0,1,19
29,0,1,56
30,0,1,34
31,0,1,25
32,0,1,69
33,1,1,13
34,1,1,18
35,0,0,12
36,0,0,36
37,0,0,13
38,0,0,7
39,0,0,28
40,1,0,10
41,1,0,7
42,0,0,24
43,0,0,32
44,0,0,25
45,0,0,17
46,0,0,9
47,1,0,2
48,1,0,12
49,0,0,34
50,0,0,21
51,0,0,15
52,0,0,13
53,0,0,19
54,1,0,6
55,1,0,10
56,0,1,14
57,0,1,50
58,0,1,33
59,0,1,55
60,0,1,32
61,1,1,14
62,1,1,16
63,0,0,10
64,0,0,13
65,0,0,19
66,0,0,12
67,0,0,12
68,1,0,13
69,1,0,12
70,0,0,18
71,0,0,8
72,0,0,35
73,0,0,16
74,0,0,19
75,1,0,2
76,1,0,4
77,0,0,25
78,0,0,23
79,0,0,31
80,0,0,23
81,0,0,21
82,1,0,6
83,1,0,7
84,0,1,38
85,0,1,26
86,0,1,49
87,0,1,36
88,0,1,26
89,1,1,6
90,1,1,9
91,0,0,17
92,0,0,20
93,0,0,18
94,0,0,12
95,0,0,13
96,1,0,15
97,1,0,5
98,0,0,21
99,0,0,36
100,0,0,24
101,0,0,24
102,0,0,7
103,1,0,3
104,1,0,7
105,0,0,18
106,0,0,9
107,0,0,10
108,0,0,9
109,0,0,27
110,1,0,7
111,1,0,5
112,0,1,54
113,0,1,41
114,0,1,18
115,0,1,51
116,0,1,48
117,1,1,23
118,1,1,8
119,0,0,3
